Titre de poste ,Sex,Entreprise,Localisation,salaire MIN,salaire MAX,Salaire Moyen,Type de salaire,Salaire Annuel Calculé,Contrat
Ingénieur de recherche en sciences des données,H/F,CHU de Poitiers,Poitiers,,,,,,CDD
Research Engineer/Postdoc - Bioinformatics and Data Analysis (M/F),H/F,Institut Imagine,Paris,,,,,,CDD
Ingénieur(e) logiciel junior systèmes électriques,,Artelys,Paris,,,,,,CDI
Ingénieur Logiciel Embarqué,H/F,SYT Technologies,Morières-lès-Avignon,40000,50000,45000,Annuel,45000,CDI
INGÉNIEUR(E) LOGICIEL EMBARQUÉ/X,H/F,IT link,Lyon,38000,45000,41500,Annuel,41500,CDI
Ingénieur Développement Logiciel Embarqué [IoT],H/F,ville-cholet.fr,Cholet,,,,,,CDI
Ingénieur·e développement logiciel,H/F,ESRF,Grenoble,,,,,,CDI
Ingénieur Test et Validation,H/F,CLEARSY,Paris,30000,50000,40000,Annuel,40000,CDI
Ingénieur,,CLEARSY,Lyon,30000,50000,40000,Annuel,40000,CDI
Ingénieur Développement produit,H/F,KADRA Consultants,Toulon,43000,46000,44500,Annuel,44500,CDI
Ingénieur bureau d'études,H/F,SMT épocal,Melun,46000,,23000,Annuel,23000,CDI
Ingénieur Méthodes,H/F,INGEVA,Boulogne-Billancourt,30000,50000,40000,Annuel,40000,CDI
Ingénieur Méthodes Maintenance,H/F,ALPHA MAINTENANCE,Port-de-Bouc,30000,45000,37500,Annuel,37500,CDI
Ingénieur validation de données,H/F,CLEARSY,Aix-en-Provence,30000,70000,50000,Annuel,50000,CDI
Ingénieur d'études et développement C/C++ Embarqué,H/F,CRISTAL SOLUTIONS,Cergy,35000,55000,45000,Annuel,45000,CDI
Ingénieure/ Ingénieur chercheur en génie civil,H/F,EDF,Saclay,45000,55000,50000,Annuel,50000,CDI
Ingénieur DEVOPS,,AVALIANCE,Paris,44000,80000,62000,Annuel,62000,CDI
Ingénieur(e) développement C# .NET / Javascript,,Avisto,Cachan,,,,,,CDI
Ingénieure / Ingénieur développement électronique radiofréquence (RF) PARIS,,Capgemini Engineering,Paris,,,,,,CDI
Ingénieur Test Intégration Validation,H/F,CRISTAL SOLUTIONS,Conflans-Sainte-Honorine,35000,50000,42500,Annuel,42500,CDI
INGÉNIEUR.E DÉVELOPPEMENT C EMBARQUÉ (H/F/X),H/F,IT link,Strasbourg,37000,42000,39500,Annuel,39500,CDI
Ingénieur de projet Supply Chain,,OneSide Technologies,Metz,,,,,,CDI
Ingénieure ou Ingénieur R&D Electronique de puissance Batteries & véhicules électriques,,NORAUTO,Villeneuve-d'Ascq,,,,,,CDI
INGÉNIEUR AUTOMATICIEN (H/F/X),H/F,IT link,Montpellier,40,45,42.5,Horaire,77350,CDI
Ingénieur Support Technique - Air Ambiant,,ENVEA,Poissy,,,,,,CDI
TLSE - ingénieur conception moules injection & outillages,,AYES Consulting,Toulouse,32000,45000,38500,Annuel,38500,CDI
Ingénieur calcul mécanique 3D,H/F,Edvance,Montrouge,42000,47000,44500,Annuel,44500,CDI
Ingénieure / Ingénieur Logiciel Azure NANCY,,Capgemini,Nancy,,,,,,CDI
INGÉNIEUR TEST ET VALIDATION (H/F/X),H/F,IT link,Lyon,38000,45000,41500,Annuel,41500,CDI
Ingénieur Système Electrotechnique,H/F,CRDL,Étupes,,,,,,CDI
Ingénieure / Ingénieur Logiciel Azure NANCY,,Capgemini,Nancy,,,,,,CDI
INGENIEUR PROCEDES MECANIQUE,,SOGEMA,Avignon,3000,5000,4000,Mensuel,48000,CDI
ALTERNANT COMMUNICATION,,La Bouclette,Émerainville,2000,,1000,Mensuel,12000,CDD
Ingénieur-e d'études,,Inserm,Marseille,,,,,,CDD
Ingénieur de recherche en génie logiciel pour les modèles émergents en IA,H/F,CEA,Grenoble,,,,,,CDD
Ingénieur en biologie cellulaire et biochimie-IE,,Inserm,Nice,2000,,1000,Mensuel,12000,CDD
Ingénieur de recherche en développement logiciel HPC,H/F,CNRS,Annecy,,,,,,CDD
Assistant Ingénieur en techniques et analyses biologiques,,Inserm,Nice,2000,3000,2500,Mensuel,30000,CDD
Assistant administratif,,Inserm,Paris,2000,3000,2500,Mensuel,30000,CDD
Assistant ingénieur en biologie,H/F,Inserm,Nantes,2000,3000,2500,Mensuel,30000,CDD
Ingénieur,H/F,CNRS,Toulouse,2000,3000,2500,Mensuel,30000,CDD
Ingénieur ou Ingénieure « IoT Center »,,Ecole des Mines de Saint-Étienne,Gardanne,,,,,,CDD
Secrétaire medical administratif,,ACMS,Levallois-Perret,,,,,,CDD
Ingénieur en microrobotique pour l'exploration spatiale,H/F,CNRS,Montbéliard,3000,,1500,Mensuel,18000,CDD
Assitant administratif - h/f,H/F,Inserm,Paris,2000,3000,2500,Mensuel,30000,CDD
Epidémiologiste,,Inserm,Bron,3000,,1500,Mensuel,18000,CDD
Doctorant(e),H/F,CNRS,Montpellier,2000,,1000,Mensuel,12000,CDD
Ingénieur.e Conception Mécanique Mécatronique Confirmé.e,,STELLAR ATHLETE,Metz,45000,50000,47500,Annuel,47500,CDD
Coordinateur·trice RH,,Inserm,Paris,2000,3000,2500,Mensuel,30000,CDD
Technicien.ne en gestion administrative,,Inserm,Reims,2000,3000,2500,Mensuel,30000,CDD
Gestionnaire administratif-ve,,Inserm,Clermont-Ferrand,2000,,1000,Mensuel,12000,CDD
Assistant ingénieur en expérimentation et instrumentation biologiques,H/F,Inserm,Tours,2000,,1000,Mensuel,12000,CDD
Ingénieur Process Expert,H/F,Adionics,Les Ulis,,,,,,CDD
Gestionnaire d'application assistance support,,Inserm,Paris,2000,3000,2500,Mensuel,30000,CDD
Chercheur postdoctorant,H/F,CNRS,Saclay,3000,5000,4000,Mensuel,48000,CDD
Ingénieur de Recherche en Résonance Magnétique Nucléaire,H/F,Aix-Marseille Université,Marseille,,,,,,CDD
Assistant en études mécaniques pour le bureau d'études d'IRPHE,H/F,Aix-Marseille Université,Marseille,24000,30000,27000,Annuel,27000,CDD
Assistant.e de communication et relations publiques -,H/F,Université Sorbonne Paris Nord,Villetaneuse,,,,,,CDD
Ingénieur(e) de Recherche: Expert en calcul scientifique,H/F,CNRS,Toulouse,3000,4000,3500,Mensuel,42000,CDD
CHARGE DE PROJET - PROGRAMME DE RECHERCHE,,Inserm,Paris,2000,4000,3000,Mensuel,36000,CDD
Chargé des contrats de recherche,,Inserm,Paris,2000,4000,3000,Mensuel,36000,CDD
Assistant opérationnel - CDD - Temps plein,H/F,E.P.A. MARNE,Champs-Sur-Marne,2000,4000,3000,Mensuel,36000,CDD
Ingénieur Full Stack,H/F,SKYINCAP,Nice,37000,,18500,Annuel,18500,CDI
Ingénieur Full Stack Java - (H/F/X),H/F,Arolla,France,50000,70000,60000,Annuel,60000,CDI
Développeur Full Stack,H/F,Link Mobility,Riorges,,,,,,CDI
Développeur Full Stack,H/F,Coddity,Paris,40000,50000,45000,Annuel,45000,CDI
Ingénieur Full Stack React sur AWS,,Pixstart SAS,Toulouse,38000,48000,43000,Annuel,43000,CDI
Ingénieur full stack,H/F,Oktogone Group,Antibes,45000,65000,55000,Annuel,55000,CDI
Développeur Full Stack,H/F,DEVEO,France,3000,5000,4000,Mensuel,48000,CDI
Ingénieur/Ingénieure développement Full-stack - Aix-en-Provence,,Capgemini,Aix-en-Provence,,,,,,CDI
Développeur Full Stack,H/F,CERVVAL,Plouzané,32000,38000,35000,Annuel,35000,CDI
Ingénieur développeur full stack Atelier B,H/F,CLEARSY,Lyon,30000,70000,50000,Annuel,50000,CDI
Ingénieur étude et développement Full-Stack,H/F,Cleeven Se,Biot,25000,40000,32500,Annuel,32500,CDI
Développeur Full Stack - Act21,H/F,Baker Tilly,Toulouse,,,,,,CDI
Ingénieur-e de dévelopment d’application cloud full-stack,H/F,Dassault Systèmes,Vélizy-Villacoublay,,,,,,CDI
Développeur Full Stack Python,H/F,Noveo,Marcq-en-Baroeul,45000,49000,47000,Annuel,47000,CDI
Développeur Full stack,H/F,Adentis,Grenoble,35000,45000,40000,Annuel,40000,CDI
Développeur full stack (h/f),H/F,Lidl France,Strasbourg,,,,,,CDI
Lead Full Stack Developer,,Lixo,Paris,50000,65000,57500,Annuel,57500,CDI
Ingénieur développement Python / Javascript,,Avisto,Vallauris,,,,,,CDI
Ingénieur/Ingénieure développement Full-stack - Aix-en-Provence,,Capgemini,Aix-en-Provence,,,,,,CDI
Développeur Full Stack,H/F,SAS NEVEA,Vergt,28000,31000,29500,Annuel,29500,CDI
Développeur Full Stack,H/F,Vibratec,Écully,38000,44000,41000,Annuel,41000,CDI
Développeur Full stack Java et Angular,,VIF,La Chapelle-sur-Erdre,,,,,,CDI
Développeur Full Stack NodeJS / VueJS – – Lille,H/F,engIT,Lille,42000,48000,45000,Annuel,45000,CDI
Développeur Full Stack expérimenté,H/F,URSSAF CAISSE NATIONALE,Valbonne,,,,,,CDI
Développeur Logiciel Full-Stack Angular/Java,H/F,ICE (Industrielle de Contrôle et d'Equipement),Alfortville,50000,55000,52500,Annuel,52500,CDI
Développeur Full Stack Java / Angular,H/F,AFD Technologies,Aix-en-Provence,37000,47000,42000,Annuel,42000,CDI
Développeur Fullstack Web,H/F,web2roi,Nice,32000,45000,38500,Annuel,38500,CDI
Ingénieure / Ingénieur Full Stack confirmé,,Capgemini,Toulouse,,,,,,CDI
Développeur Full Stack - Lille,H/F,BPCE Solutions Informatiques,Villeneuve-d'Ascq,,,,,,CDI
Développeur Full Stack Angular/PHP Symfony,H/F,Inetum,Mougins,,,,,,CDI
Développeur Full-Stack confirmé -,H/F,Civils de la Défense,Bruz,,,,,,CDD
Ingénieur de recherche en sciences des données,H/F,CHU de Poitiers,Poitiers,,,,,,CDD
Software Engineer R&D - Backend - Junior,,ActiveViam,Paris,,,,,,CDD
Junior Software Engineer,,Artefact,Paris,,,,,,CDD
Software Engineer (trading),H/F,Constella,Courbevoie,,,,,,CDD
iOS Software Engineer (Stage) - EY FABERNOVEL - JANVIER/FEVRIER 2025,,EY,Paris,,,,,,CDD
Junior Software Engineer,,Ledger,Paris,,,,,,CDD
Ingénieur ou Ingénieure Réseaux de Transmission,,SNCF Cadres,Saint-Denis,,,,,,CDI
Ingénieur Exploitation Réseaux,,SAFARI TECHNOLOGIES,Lyon,40000,45000,42500,Annuel,42500,CDI
Ingénieur / Ingénieure Cœur de Réseaux Paris,,Capgemini Engineering,Paris,,,,,,CDI
Ingénieur Sécurité Réseaux,H/F,STEP UP,Lyon,35000,40000,37500,Annuel,37500,CDI
Ingénieur(e) logiciel junior systèmes électriques,,Artelys,Paris,,,,,,CDI
"Ingénieur/ Architecte Système, Réseaux et Sécurité",H/F,SMILY RH / SMILINK,Lyon,,,,,,CDI
INGÉNIEUR(E) V&V RÉSEAUX (H/F/X),H/F,IT link,Lyon,38000,45000,41500,Annuel,41500,CDI
Ingénieur Sécurité et Réseaux,H/F,SUEZ,Courbevoie,,,,,,CDI
Ingénieur - Intelligence Artificielle embarquée,H/F,IRT Railenium,Saint-Denis,35000,,17500,Annuel,17500,CDI
Ingénieur d'Affaires Réseaux d'énergies,H/F,VINCI Energies,Six-Fours-les-Plages,,,,,,CDI
Ingénieur Systèmes et Réseaux,H/F,SERENE UP,France,,,,,,CDI
Ingénieur Réseaux et Sécurité,H/F,SNS SECURITY,Lyon,55000,65000,60000,Annuel,60000,CDI
Ingénieur support réseaux et sécurité N3,H/F,NXO France,Rueil-Malmaison,45000,50000,47500,Annuel,47500,CDI
Ingénieur d'études structure junior,H/F,Tractebel,Saint-Ouen,,,,,,CDI
Ingénieur réseaux,H/F,DCS GROUP,Vienne,50000,55000,52500,Annuel,52500,CDI
Ingénieur(e) Cybersécurité et Réseaux,,KYRON Solutions Informatiques,Puteaux,,,,,,CDI
Ingénieur R&D Systèmes et Réseaux Embarqués,H/F,ville-cholet.fr,Trémentines,45000,60000,52500,Annuel,52500,CDI
Ingénieur réseaux et systèmes,H/F,EIFFAGE ENERGIE SYSTEME,Lyon,,,,,,CDI
Ingénieur Systèmes et Réseaux,H/F,FONDATION PARTAGE ET VIE,Montrouge,,,,,,CDI
Ingénieur Systèmes et Réseaux,H/F,Apy Consult,Valence,38000,45000,41500,Annuel,41500,CDI
Ingénieur sécurité réseaux,,ENGIT,Noisy-le-Grand,,,,,,CDI
Ingénieur Systèmes et Réseaux,H/F,KOESIO,Villeurbanne,,,,,,CDI
Ingénieur Cybersécurité,,Arsium,Villeurbanne,45000,55000,50000,Annuel,50000,CDI
Ingénieur électronique logiciel embarqué,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur QHSE,H/F,Sucheme,Puteaux,40000,41000,40500,Annuel,40500,CDI
Ingénieur Réseaux et Sécurité,H/F,ville-cholet.fr,Les Cerqueux,,,,,,CDI
Ingénieur Réseaux et Sécurité,H/F,Opsynet,Créteil,40000,50000,45000,Annuel,45000,CDI
Ingénieur Exploitation junior,H/F,PAPREC,Saint-Benoît-la-Forêt,,,,,,CDI
Ingénieur / Ingénieure Fluides Sécurité Réseaux,,OCEA,Les Sables-d'Olonne,,,,,,CDI
"Ingénieur ou ingénieure Hygiène, santé, sécurité, environnement",,Département de Loire-Atlantique,Saint-Herblain,,,,,,CDI
Ingénieur systèmes et réseaux,H/F,VILLE D'ARGENTEUIL,Argenteuil,2000,,1000,Mensuel,12000,CDD
Ingénieur-e d'études en biologie cellulaire,,Inserm,Toulouse,2000,,1000,Mensuel,12000,CDD
Ingénieur Systèmes et Réseaux,H/F,Conseil départemental de l'Aveyron,Rodez,,,,,,CDD
Ingénieur-e en tenchniques biologiques,,Inserm,Toulouse,2000,,1000,Mensuel,12000,CDD
Administrateur-trice systèmes et réseaux,H/F,CNRS,Gif-sur-Yvette,2000,3000,2500,Mensuel,30000,CDD
Ingénieur,H/F,CNRS,Nantes,2000,3000,2500,Mensuel,30000,CDD
Ingénieur Système & Réseaux,,Université du Littoral Côte d'Opale (ULCO),Calais,2000,,1000,Mensuel,12000,CDD
Ingénieur Data Scientist / Développeur en Modélisation Statistique,H/F,Inria,Montbonnot-Saint-Martin,3000,,1500,Mensuel,18000,CDD
Ingénieur développement logiciel - DevOps,H/F,CNRS,Orsay,2000,,1000,Mensuel,12000,CDD
Assistant.e ingénieur.e,H/F,CNRS,Villeneuve-d'Ascq,2000,,1000,Mensuel,12000,CDD
Ingénieur(e) en cybersécurité,H/F,Université de Rouen Normandie,Mont-Saint-Aignan,2000,,1000,Mensuel,12000,CDD
"Ingénieur en Hygiène, Sécurité et Environnement",H/F,CNRS,Palaiseau,3000,,1500,Mensuel,18000,CDD
PH11390 Ingénieur.e de recherche en développement logiciel,,Université Paris Cité,Paris,,,,,,CDD
Ingénieur ou Ingénieure « IoT Center »,,Ecole des Mines de Saint-Étienne,Gardanne,,,,,,CDD
Ingénieur Système Stockage et Virtualisation,,Espritek,Toulon,5000,,2500,Mensuel,30000,CDD
Ingénieur Environnement Industriel,H/F,COMPAGNIE NATIONALE DU RHONE S.A.,Lyon,,,,,,CDD
ingénieur.e systèmes,,Grand Besançon Métropole,Besançon,,,,,,CDD
Ingénieur prévention des risques chimiques,H/F,Aix-Marseille Université,Marseille,,,,,,CDD
Chef de projets infrastructure et réseaux,H/F,Exodata,France,35000,,17500,Annuel,17500,CDD
Ingénieur d’étude en Informatique,H/F,UNIVERSITE DE PERPIGNAN,Tautavel,24000,28000,26000,Annuel,26000,CDD
Ingénieur d'étude et développement de logiciels -,H/F,Grenoble-INP,Saint-Martin-d'Hères,3000,,1500,Mensuel,18000,CDD
Ingénieur·e en techniques expérimentales,H/F,Université de Lille,Tourcoing,3000,,1500,Mensuel,18000,CDD
CDD - Ingénieur(e) sécurité environnement,H/F,CEA,Grenoble,,,,,,CDD
CDD – GIP ATGeRi – Ingénieur(e)/Technicien(ne) SIG – – Bordeaux (33),H/F,GIP ATGeRi,Bordeaux,,,,,,CDD
CDD - Ingénieur(e) Logiciel HPC Topologie pour projet européen Net4Exa,H/F,CEA,Bruyères-le-Châtel,,,,,,CDD
"Un(e) Administrateur réseaux, système et support",H/F,Grand Lac communauté d’agglomération,Aix-les-Bains,,,,,,CDD
Ingénieur-e d’études en instrumentation et pilotage d’essais,H/F,INSA TOULOUSE,Toulouse,2000,3000,2500,Mensuel,30000,CDD
CDD - Ingénieur Analyse des déformations de cristaux de silicium pour application photovoltaïque,H/F,CEA,Le Bourget-du-Lac,,,,,,CDD
Ingénieur Informatique Industrielle Salle Blanche,H/F,CEA,Grenoble,,,,,,CDD
Ingénieur de recherche - Expert en développement d'instrument (f/h),H/F,Université Grenoble Alpes,La Tronche,2000,,1000,Mensuel,12000,CDD
Project engineer Trainee (Marseille ou Lyon),,ECOLAB,Marseille,1000,2000,1500,Mensuel,18000,CDI
YACHT PROJECT ENGINEER,,Palmer Johnson,France,,,,,,CDI
CDI - Project Contract Engineer,H/F,TotalEnergies,France,,,,,,CDI
Junior Project Engineer Life Sciences,,ISALYS Group,Paris,,,,,,CDI
Engineering Project Engineer,,SBM Offshore,Marly,,,,,,CDI
